card_id,title,type,year_file,hero_url,hero_exists,hero_size,hero_is_ai,legacy_image_url,legacy_image_exists,gallery_count,gallery_missing,gallery_urls,has_related_content
person_1926_03,"이상화 — ""빼앗긴 들에도 봄은 오는가""",person,1926.js,assets/images/entity/person/person_이상화_01.webp,True,389418,false,,,0,0,,False
person_1926_04,한용운 — 『님의 침묵』 출간,person,1926.js,assets/images/entity/person/person_한용운_01.webp,True,110600,true,,,0,0,,False
movement_1927_01,근우회 창립 — 여성계 민족유일당,movement,1927.js,assets/images/entity/person/person_박차정_01.webp,True,111454,true,,,0,0,,False
political_1927_02,이상재 별세 — 신간회 초대 회장,political,1927.js,assets/images/entity/event/event_political_1927_02_01.webp,True,150714,false,,,0,0,,False
political_1927_03,의열단의 노선 전환 — 개별투쟁에서 조직투쟁으로,political,1927.js,assets/images/entity/event/event_political_1927_03_01.webp,True,116054,true,,,0,0,,False
righteous_1927_01,김창숙 체포 — 나석주 의거의 여파,righteous,1927.js,assets/images/entity/event/event_righteous_1927_01_01.webp,True,85146,false,,,0,0,,False
political_1927_04,중국 국공분열과 독립운동의 동요,political,1927.js,assets/images/entity/event/event_political_1927_04_01.webp,True,80632,true,,,0,0,,False
person_1927_01,신채호 — 무정부주의 동방연맹,person,1927.js,assets/images/entity/person/person_신채호_01.webp,True,21166,false,,,0,0,,False
person_1927_02,김활란 — 근우회와 여성운동,person,1927.js,assets/images/entity/person/person_김활란_01.webp,True,173150,false,,,0,0,,True
righteous_1928_01,조명하 — 타이중 의거,righteous,1928.js,assets/images/entity/person/person_조명하_01.webp,True,170076,true,,,0,0,,False
political_1928_02,코민테른 12월테제,political,1928.js,assets/images/entity/event/event_political_1928_02_01.webp,True,18520,false,,,0,0,,False
person_1928_01,신채호 — 동방연맹 활동과 체포 직전,person,1928.js,assets/images/entity/person/person_신채호_01.webp,True,21166,false,,,0,0,,False
movement_1929_02,광주학생항일운동,movement,1929.js,assets/images/entity/event/event_movement_1929_02_01.webp,True,36714,false,,,0,0,,False
